time_ns,time_ps,Tmax_K,melt_exists,vapor_exists,melt_depth_um,melt_radius_um,vapor_depth_um,vapor_radius_um,crater_depth_um,crater_radius_um,r_at_Tmax_um,z_at_Tmax_um
0.0,0.0,300.0,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.010187,10.187,2214.88726,yes,no,0.010763767183854966,14.04740738454257,0.0,0.0,0.0,0.0,0.0,5.0
0.020288,20.288,2785.49581,yes,no,0.027693997177322238,18.901096814016427,0.0,0.0,0.0,0.0,0.0,5.0
0.031339,31.339,2953.9567,yes,no,0.0410957022842533,19.936653710877682,0.0,0.0,0.0,0.0,0.0,5.0
0.040677,40.677,2864.69127,yes,no,0.04915989253658548,19.404445759232022,0.0,0.0,0.0,0.0,0.0,5.0
0.051922,51.922000000000004,2616.31642,yes,no,0.055144635538450615,17.72072862922544,0.0,0.0,0.0,0.0,0.0,5.0
0.061661,61.661,2368.2224,yes,no,0.056843165652610494,15.63810883027919,0.0,0.0,0.0,0.0,0.0,5.0
0.071874,71.874,2129.91002,yes,no,0.0548601799909596,13.021594415517583,0.0,0.0,0.0,0.0,0.0,5.0
0.081331,81.331,1947.1516,yes,no,0.04889778013898116,10.178415545770653,0.0,0.0,0.0,0.0,0.0,5.0
0.0931,93.10000000000001,1771.66289,yes,no,0.03239005519207794,6.020317192391688,0.0,0.0,0.0,0.0,0.0,5.0
0.1004,100.4,1686.5654,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.11408,114.08,1561.77021,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.12575,125.75,1480.10614,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.13257999999999998,132.57999999999998,1439.59233,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.14021999999999998,140.21999999999997,1399.18987,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.15836,158.36,1318.91028,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.16913,169.13,1279.05507,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.18128,181.28,1239.39463,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.195,195.0,1199.99855,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.21058,210.57999999999998,1160.8585,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.22832,228.32,1122.03056,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.24861,248.60999999999999,1083.51032,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.27192,271.92,1045.34824,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.29885,298.85,1007.54446,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.32885,328.84999999999997,971.56333,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.35885,358.85,940.59363,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.38885,388.84999999999997,913.57201,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.41885,418.85,889.7077,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.44885,448.85,868.43792,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.47885,478.85,849.31134,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.50885,508.85,831.99992,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.53885,538.85,816.2228,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.56885,568.85,801.77535,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.59885,598.85,788.47115,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.62885,628.85,776.17597,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.6588499999999999,658.8499999999999,764.75971,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.68885,688.8499999999999,754.13083,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.71885,718.85,744.19483,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.74885,748.85,734.88738,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.7788499999999999,778.8499999999999,726.13751,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.80885,808.8499999999999,717.8989,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.83885,838.85,710.11683,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.8688499999999999,868.8499999999999,702.75727,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.8988499999999999,898.8499999999999,695.77703,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.9288500000000001,928.85,689.15073,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.95885,958.85,682.84361,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.9888500000000001,988.8500000000001,676.83647,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0188000000000001,1018.8000000000002,671.10089,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0488,1048.8,665.6222,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0788,1078.8,660.3768,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1088,1108.8,655.35338,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1388,1138.8,650.53212,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1687999999999998,1168.7999999999997,645.90422,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1988,1198.8000000000002,641.45285,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
