case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.14055,-1.09698
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.34055,-1.36815
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.54055,-1.236375
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.74055,-1.3607
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.94055,-1.358805
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.14055,-1.36368
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.34055,-1.23238
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.54055,-1.3658
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.74055,-1.358125
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.94055,-1.36433
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.14055,-1.23617
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.34055,-1.22785
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.54055,-1.3758
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.74055,-1.22755
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.94055,-1.474475
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.14055,-1.105085
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.34055,-1.366675
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.54055,-1.23096
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.74055,-1.36212
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.94055,-1.3558
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.14055,-1.36101
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.34055,-1.2328
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.54055,-1.358545
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.74055,-1.3516
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.94055,-1.36744
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,5.14055,-1.2224
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-5.05945,-1.62281
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-4.85945,-0.9536
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-4.65945,-1.62144
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-4.45945,-1.08182
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-4.25945,-1.480265
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-4.05945,-1.20479
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-3.85945,-1.3654
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-3.65945,-1.332925
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-3.45945,-1.34611
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-3.25945,-1.22384
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-3.05945,-1.347825
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-2.85945,-1.3376
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-2.65945,-1.34355
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-2.45945,-1.21195
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-2.25945,-1.34934
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-2.05945,-1.33086
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-1.85945,-1.36296
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-1.65945,-1.20887
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-1.45945,-1.216605
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-1.25945,-1.36428
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-1.05945,-1.201275
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-0.85945,-1.47802
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-0.65945,-1.3067
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-0.45945,-1.349225
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-0.25945,-1.21998
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,-0.05945,-1.352
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.14055,-1.09131
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.34055,-1.357605
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.54055,-1.22856
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.74055,-1.35604
