case,step,time_ps,natoms,thermo_temp_K,mean_atom_temperature_K,max_atom_temperature_K,melt_like_atom_count,vap_like_atom_count,surface_z_A,surface_lift_nm,ejecta_atoms,plume_front_height_nm,max_stress_proxy_eV,min_stress_proxy_eV,log_pressure,max_electron_temperature_K,mean_electron_temperature_K,min_electron_temperature_K
fluence_0p5_100ps,340000,33.9999,12416,3203.232,3414.1631,25360.437,7989,4353,134.193,0.3231,0,0.3231,11526200,-10402510,-827.92432,3970.1333,3948.9961,3936.049
fluence_0p5_100ps,350000,34.9999,12416,3274.1335,3489.7333,23022.126,8171,4427,133.429,0.2467,0,0.2467,13283567,-10133813,-350.96368,3985.5118,3968.1864,3957.6299
fluence_0p5_100ps,360000,35.9999,12416,3343.1092,3563.251,25671.36,8148,4595,134.027,0.3065,0,0.3065,13987900,-10789717,770.17801,4005.7034,3988.6982,3974.8925
fluence_0p5_100ps,370000,36.9999,12416,3408.3044,3632.7394,24011.837,8236,4696,134.647,0.3685,0,0.3685,13385453,-9139546.7,378.31854,4018.7022,4004.8611,3993.9816
fluence_0p5_100ps,380000,37.9999,12416,3458.6342,3686.3834,31094.074,8260,4714,135.208,0.4246,0,0.4246,14210400,-10274147,753.98937,4037.5626,4018.8828,4005.2647
fluence_0p5_100ps,390000,38.9999,12416,3468.4015,3696.7937,30730.93,8275,4796,135.209,0.4247,0,0.4247,13379950,-9992113.3,222.27813,4054.3915,4033.6506,4011.458
fluence_0p5_100ps,400000,39.9999,12416,3478.3332,3707.3794,23770.463,8367,4826,136.909,0.5947,0,0.5947,13501700,-9269183.3,-1213.9456,4066.336,4044.4566,4031.9909
fluence_0p5_100ps,410000,40.9999,12416,3583.315,3819.2742,28064.599,8460,4956,138.524,0.7562,0,0.7562,15235833,-9832583.3,-390.49273,4083.1736,4062.8624,4050.0859
fluence_0p5_100ps,420000,41.9999,12416,3563.3146,3797.9567,26202.615,8433,4879,137.944,0.6982,0,0.6982,13348967,-9908066.7,-1912.3421,4085.9005,4071.3175,4061.3511
fluence_0p5_100ps,430000,42.9999,12416,3619.0149,3857.3249,25804.348,8435,5000,137.103,0.6141,0,0.6141,12455933,-10551263,-386.37659,4105.0871,4083.6789,4072.0085
fluence_0p5_100ps,440000,43.9999,12416,3685.7864,3928.4932,24803.574,8584,5163,137.396,0.6434,0,0.6434,15901667,-10736497,-343.73562,4116.5522,4099.2562,4090.2761
fluence_0p5_100ps,450000,44.9999,12416,3743.9734,3990.5117,30361.674,8614,5235,137.833,0.6871,0,0.6871,14127600,-10502410,1905.7852,4131.7981,4109.3756,4099.3761
fluence_0p5_100ps,460000,45.9999,12416,3741.6461,3988.0313,28845.041,8604,5215,138.157,0.7195,0,0.7195,19416467,-10137047,721.51063,4131.5262,4116.1859,4098.8686
fluence_0p5_100ps,470000,46.9999,12416,3781.8119,4030.8419,31983.754,8568,5216,137.075,0.6113,0,0.6113,12606443,-10890887,918.97222,4141.5234,4122.0581,4114.7972
fluence_0p5_100ps,480000,47.9999,12416,3746.3419,3993.0364,28308.062,8571,5132,138.032,0.707,0,0.707,17842000,-10590267,849.7877,4138.874,4124.8204,4114.5018
fluence_0p5_100ps,490000,48.9999,12416,3755.069,4002.3381,28100.96,8587,5216,139.853,0.8891,0,0.8891,16242200,-9391563.3,394.63685,4145.4804,4126.8112,4114.2852
fluence_0p5_100ps,500000,49.9999,12416,3779.231,4028.0911,34054.542,8639,5302,138.986,0.8024,0,0.8024,15927667,-9506850,433.58369,4145.7313,4131.7341,4118.1716
fluence_0p5_100ps,510000,50.9999,12416,3734.7801,3980.7131,31408.866,8586,5150,136.749,0.5787,0,0.5787,13321767,-9827060,242.39772,4148.7965,4133.8157,4118.5323
fluence_0p5_100ps,520000,51.9999,12416,3783.1815,4032.3019,29476.404,8527,5280,140.652,0.969,0,0.969,14674800,-9934460,-804.85206,4158.8588,4143.3271,4128.9794
fluence_0p5_100ps,530000,52.9999,12416,3773.6962,4022.1919,29479.576,8609,5292,139.497,0.8535,0,0.8535,12354853,-10227407,-1343.8501,4154.5905,4145.9808,4127.4901
fluence_0p5_100ps,540000,53.9999,12416,3815.6111,4066.8669,28655.423,8648,5335,137.738,0.6776,0,0.6776,18466400,-10029387,-85.035957,4164.2828,4152.418,4139.0517
fluence_0p5_100ps,550000,54.9999,12416,3796.3082,4046.2929,37976.327,8557,5231,139.743,0.8781,0,0.8781,13010100,-9729846.7,421.0805,4177.4889,4156.0115,4147.6171
fluence_0p5_100ps,560000,55.9999,12416,3816.4632,4067.7752,26295.993,8637,5258,140.069,0.9107,0,0.9107,16752400,-9778316.7,-397.34535,4172.9803,4157.4997,4143.8344
fluence_0p5_100ps,570000,56.9999,12416,3868.7201,4123.473,26851.153,8669,5387,139.802,0.884,0,0.884,16089033,-9453026.7,-28.795335,4172.2501,4160.3455,4147.5701
fluence_0p5_100ps,580000,57.9999,12416,3857.756,4111.787,26687.607,8699,5294,138.391,0.7429,0,0.7429,15466433,-11464983,-1095.8154,4177.2079,4161.5274,4145.0273
fluence_0p5_100ps,590000,58.9999,12416,3874.1002,4129.2075,26128.191,8808,5396,143.411,1.2449,1,1.2449,14613233,-9977386.7,397.46932,4180.9495,4163.2447,4151.9161
fluence_0p5_100ps,600000,59.9999,12416,3862.8175,4117.1818,26929.213,8677,5388,149.114,1.8152,1,1.8152,14339933,-9737023.3,392.21286,4183.9879,4164.1374,4155.1187
fluence_0p5_100ps,610000,60.9999,12416,3849.8855,4103.3982,35104.982,8630,5334,154.817,2.3855,1,2.3855,16868400,-10036583,767.976,4180.2702,4165.944,4150.9882
fluence_0p5_100ps,620000,61.9999,12416,3858.2733,4112.3385,33368.482,8681,5288,160.521,2.9559,1,2.9559,16759220,-9946290,1403.9316,4187.5246,4170.8461,4159.0799
fluence_0p5_100ps,630000,62.9999,12416,3891.2458,4147.4822,26975.863,8701,5471,156.57,2.5608,0,2.5608,12488293,-9872863.3,-379.94286,4191.4787,4178.6618,4161.9643
fluence_0p5_100ps,640000,63.9999,12416,3856.4957,4110.4436,30258.162,8698,5325,146.479,1.5517,0,1.5517,13050687,-9611650,-1400.7788,4203.124,4183.9493,4169.768
fluence_0p5_100ps,650000,64.9999,12416,3914.8816,4172.6742,30560.344,8702,5442,139.251,0.8289,0,0.8289,13272600,-11370833,-1505.3461,4202.6416,4183.5278,4170.4857
fluence_0p5_100ps,660000,65.9999,12416,3853.951,4107.7312,32257.156,8607,5381,139.045,0.8083,0,0.8083,15010867,-10327167,-1054.1263,4199.342,4182.5356,4166.6518
fluence_0p5_100ps,670000,66.9999,12416,3842.9089,4095.9622,29082.083,8596,5329,142.34,1.1378,1,1.1378,14343987,-9626120,-226.902,4207.8127,4190.4462,4173.6139
fluence_0p5_100ps,680000,67.9999,12416,3879.2063,4134.65,39828.253,8728,5427,140.392,0.943,0,0.943,16414567,-10174367,367.96477,4203.8763,4189.4694,4176.6036
