case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_lift_nm,surface_z_p95_global_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,crater_depth_center_nm,rim_lift_nm,rho_mean_surface,rho_p10_surface,low_density_atoms_0p7,low_density_atoms_0p3,mean_vz_surface_A_ps,p95_vz_surface_A_ps,upward_atoms,fast_upward_atoms,outward_flux_A_ps,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_component_count,detached_atom_count,largest_detached_cluster_size,surface_atom_T_mean_K,surface_atom_T_p95_K,atom_T_max_proxy_K,melt_like_atom_count,vapor_like_atom_count,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,pressure_proxy_mean_GPa,pressure_proxy_p01_GPa,pressure_proxy_p99_GPa
fluence_0p5_100ps,160000,13.9999,0.3059,0.0106925,0.0447175,-0.0431025,0.00886,0.0519625,-0.0147775,1.0953848,0.79915621,1195,54,0.18288377,13.429475,1342,133,8997.3103,1922,0,0,0,0,0,12416,0,0,0,2298.5275,6044.4078,21563.206,6394,2478,3150.7761,3160.007,3173.1271,3190.126,2218.2711,-49077.769,3559.8032,-45517.966,0.39803475,-20.086356,25.239658
fluence_0p5_100ps,170000,14.9999,0.3811,0.0030025,0.0526675,0.011485,0.003585,0,-0.0200525,1.1544032,0.79915621,1173,52,0.24563598,13.890415,1354,134,8954.9028,1982,0,0,0,0,0,12416,0,0,0,2255.6104,5828.4172,15402.832,6465,2586,3206.0983,3215.6329,3228.5364,3252.196,2279.0311,-48766.794,3657.3086,-45109.486,0.25789725,-21.146269,26.507404
fluence_0p5_100ps,180000,15.9999,0.3898,0.02062,0.0418775,-0.0611475,0.0359075,0.097055,0.01227,1.2093937,0.79915621,1144,58,-0.26026053,13.08494,1312,134,8553.9372,2047,0,0,0,1,0,12415,1,1,1,2406.6738,6258.9452,18249.807,6601,2795,3255.3347,3273.4953,3284.8231,3307.2674,2353.3351,-48444.272,3776.5491,-44667.723,0.28693269,-22.651486,26.664333
fluence_0p5_100ps,190000,16.9999,0.2534,-0.005175,0.0246325,0.04688,-0.0559325,0,-0.07957,1.3103606,1.0655416,982,45,-0.27566442,14.060395,1300,134,8871.213,1849,0,0,0,1,0,12415,1,1,1,2377.2794,6129.6562,20889.138,6631,2679,3321.8416,3335.1376,3350.1516,3365.631,2328.0039,-47914.955,3735.8986,-44179.057,-0.017845603,-24.072034,27.948311
fluence_0p5_100ps,200000,17.9999,0.3302,0.0083,-0.0032025,-0.0740075,0.0017275,0.075735,-0.02191,1.4040964,1.0655416,785,34,-0.68294342,13.13366,1221,131,7909.1905,1669,0,0,0,0,0,12416,0,0,0,2373.3216,6229.3254,18809.299,6504,2717,3385.8032,3396.0925,3408.3541,3421.1531,2310.0661,-47382.583,3707.1126,-43675.471,-0.14381844,-25.291214,29.531524
fluence_0p5_100ps,210000,18.9999,0.2165,-0.07856,-0.0553425,-0.110865,-0.0488375,0.0620275,-0.072475,1.4923188,1.0655416,596,36,-0.95746434,12.739225,1190,129,7420.2153,1491,0,0,0,0,0,12416,0,0,0,2423.7528,6374.6713,15668.266,6474,2595,3454.0098,3468.6969,3488.6112,3502.6633,2278.9228,-46707.129,3657.1349,-43049.994,-0.52060917,-28.199868,30.443573
fluence_0p5_100ps,220000,19.9999,0.212,-0.1300125,-0.1164775,-0.1179975,-0.1656125,0,-0.18925,1.552879,1.0655416,532,35,-0.6849525,13.25555,1149,125,7633.9673,1438,0,0,0,0,0,12416,0,0,0,2472.2017,6455.9764,20438.728,6587,2736,3515.1821,3526.6687,3541.4601,3557.134,2336.3248,-46280.522,3749.2515,-42531.27,-0.65921191,-29.96757,31.118941
fluence_0p5_100ps,230000,20.9999,-0.0266,-0.214585,-0.1889275,-0.1757,-0.231535,0,-0.2551725,1.5639543,1.0655416,458,35,-1.1183426,13.38144,1088,121,7097.3842,1365,0,0,0,0,0,12415,0,0,0,2610.4787,6805.6484,18140.724,6545,2692,3568.1839,3576.8818,3586.9201,3601.0756,2339.8206,-45822.584,3754.8615,-42067.723,-0.27046976,-30.739048,33.325933
fluence_0p5_100ps,240000,21.9999,-0.1116,-0.315965,-0.2846025,-0.3230525,-0.3932675,0,-0.416905,1.5719742,1.0655416,433,31,-0.84648327,13.667525,1062,116,7192.9643,1469,0,0,0,0,0,12416,0,0,0,2678.956,7144.3661,17455.826,6632,2763,3614.812,3622.9591,3634.5215,3649.7766,2378.2793,-45447.025,3816.5786,-41630.447,0.076657934,-30.441188,34.412283
fluence_0p5_100ps,250000,22.9999,-0.0981,-0.397365,-0.3520075,-0.4543975,-0.3550425,0.099355,-0.37868,1.566784,1.0655416,358,36,-0.42603143,14.36472,1079,112,7750.5221,1437,0,0,0,0,0,12414,0,0,0,2806.3339,7508.7754,18090.98,6742,2941,3659.6053,3670.1398,3683.9401,3701.6019,2455.0711,-45110.585,3939.8114,-41170.774,-0.096023336,-31.529044,36.247896
fluence_0p5_100ps,260000,23.9999,-0.0137,-0.46017,-0.3989375,-0.4630075,-0.3612175,0.10179,-0.384855,1.5638973,1.0655416,372,41,-0.17811725,14.829625,1089,111,7945.6385,1642,0,0,0,0,0,12416,0,0,0,2937.8197,7503.8972,18614.962,6978,3171,3701.3578,3711.3088,3718.4038,3731.9637,2570.4767,-44884.487,4125.0103,-40759.477,0.33117976,-30.193942,36.971394
fluence_0p5_100ps,270000,24.9999,-0.0026,-0.42369,-0.3957525,-0.49768,-0.40437,0.09331,-0.4280075,1.5672524,1.0655416,356,37,0.22227695,15.39833,1121,110,8317.2747,1759,0,0,0,0,0,12415,0,0,0,2902.4877,7776.2959,19656.661,7131,3349,3737.7445,3747.5339,3756.7392,3764.3269,2649.8272,-44642.794,4252.3492,-40390.444,0.85675784,-30.9069,37.594295
fluence_0p5_100ps,280000,25.9999,-0.0633,-0.376145,-0.3478425,-0.424555,-0.344755,0.0798,-0.3683925,1.5651183,1.0655416,354,37,0.86319356,16.34436,1202,112,9260.5498,1935,0,0,0,0,0,12414,0,0,0,3009.8736,7905.2995,21249.961,7309,3606,3773.8266,3783.2034,3796.4438,3806.1426,2755.5568,-44441.604,4422.0203,-40019.584,0.47601833,-31.443221,36.411455
fluence_0p5_100ps,290000,26.9999,0.0495,-0.2870025,-0.2770475,-0.4430375,-0.312215,0.1308225,-0.3358525,1.5631381,1.0655416,334,36,0.97480074,16.38924,1253,117,9924.5988,2103,0,0,0,0,0,12416,0,0,0,3115.1923,7960.8387,25163.701,7559,3707,3801.1593,3813.2346,3817.8847,3825.6412,2838.8243,-44258.115,4555.645,-39702.47,0.23486638,-32.020511,38.372403
