time_ns,time_ps,Tmax_K,melt_exists,vapor_exists,melt_depth_um,melt_radius_um,vapor_depth_um,vapor_radius_um,crater_depth_um,crater_radius_um,r_at_Tmax_um,z_at_Tmax_um
0.8236600000000001,823.6600000000001,962.43675,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.8536600000000001,853.6600000000001,950.32513,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.88366,883.66,938.85471,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.91366,913.6600000000001,927.97058,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.94366,943.6600000000001,917.62476,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
0.9736600000000001,973.6600000000001,907.77404,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0037,1003.7,898.38045,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0336999999999998,1033.6999999999998,889.40944,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0637,1063.7,880.83049,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0937000000000001,1093.7,872.61563,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1237,1123.6999999999998,864.74004,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1537000000000002,1153.7000000000003,857.18076,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.1837,1183.7,849.91737,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.2137,1213.7,842.93084,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.2437,1243.7,836.20422,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.2737,1273.7,829.72156,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.3036999999999999,1303.6999999999998,823.46865,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.3337,1333.7,817.43202,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.3637,1363.6999999999998,811.59966,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.3937000000000002,1393.7000000000003,805.96012,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.4237,1423.7,800.50315,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.4537,1453.7,795.21893,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.4837,1483.7,790.09868,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.5137,1513.7,785.13393,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.5436999999999999,1543.6999999999998,780.31709,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.5737,1573.7,775.64082,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.6037,1603.6999999999998,771.09853,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.6337,1633.6999999999998,766.6838,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.6637,1663.7,762.39088,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.6937,1693.7,758.21415,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.7237,1723.7,754.14855,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.7537,1753.7,750.18914,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.7837,1783.7,746.33145,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.8137,1813.7,742.57111,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.8437000000000001,1843.7,738.90417,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.8737,1873.6999999999998,735.32673,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.9037000000000002,1903.7000000000003,731.83528,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.9336999999999998,1933.6999999999998,728.42635,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.9637,1963.7,725.09681,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.9937,1993.7,721.84354,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.0237000000000003,2023.7000000000003,718.66373,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.0537,2053.7000000000003,715.5546,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.0837,2083.7,712.51362,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.1137,2113.7000000000003,709.53827,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.1437,2143.7,706.62628,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.1737,2173.7000000000003,703.77536,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.2037,2203.7,700.98347,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.2337,2233.7,698.24854,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.2637,2263.7,695.56869,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.2937000000000003,2293.7000000000003,692.94207,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.3236999999999997,2323.7,690.36696,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.3537,2353.7,687.84166,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
