case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,10000,10,0.3793,0.1678625,0.05076,0.1676875,-1.18288,-1.13212,,0.24929259,0.077249576,3,0.5,17498,2,3,1.0028776,907.21034,2420.0259,9647.4548,859.75206,2311.7649,10986.697,859.53938,19813,0.12417117,1814,0.011368622,,2458.7171,2497.2336,2532.9852,2562.8427,906.36845,8704,4250,0,0,0,0,0,159562,1,0,0,-2.5807376,3.4427816,8.5318796,-669853.84,18693.739,-651160.1
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,11000,11,0.3636,0.171785,0.0560375,0.17635,-1.18026,-1.1242225,,0.26216752,0.073288059,3,0.5,17490,2,3,1.0027492,971.49691,2590.0232,8481.9744,922.1332,2438.5629,6704.9221,931.06899,23558,0.14764167,2430,0.01522919,,2544.7195,2580.3271,2613.4446,2634.9925,981.33106,8606,4419,0,0,0,0,0,159562,1,0,0,-2.7183682,3.7851725,8.7590197,-667949.09,20239.833,-647709.26
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,12000,12,0.3795,0.188475,0.0909775,0.192095,-1.16802,-1.0770425,,0.26414827,0.074278438,3,0.5,17437,2,3,1.0036182,1037.736,2704.5583,11571.484,986.6203,2562.1527,10905.546,1011.5735,27908,0.1749038,3336,0.020907234,,2624.3156,2657.7173,2690.3261,2721.8599,1065.8392,8557,4968,0,0,0,0,0,159562,1,0,0,-2.7073913,3.8563852,9.0201559,-666254.57,21982.803,-644271.77
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,13000,13,0.4265,0.1966625,0.1150925,0.20112,-1.16611,-1.0510175,,0.26867572,0.068760611,3,0.5,17392,2,3,1.0046208,1110.5227,2814.8987,11304.116,1053.339,2728.5159,10014.167,1085.5448,31960,0.20029832,4272,0.026773292,,2699.9198,2731.8244,2762.1902,2799.3502,1142.4244,8499,5343,0,0,0,0,0,159562,1,0,0,-2.8239621,4.001013,9.4569838,-664328.75,23562.365,-640766.39
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,14000,14,0.4154,0.2173175,0.09885,0.2139925,-1.141925,-1.043075,,0.27348613,0.066072439,3,0.5,17335,2,3,1.0066506,1178.5114,3057.1407,9812.9353,1120.7485,2889.0651,8320.644,1156.6187,35780,0.22423885,5330,0.033403943,,2769.6388,2799.6113,2828.0893,2857.4399,1218.7921,8553,5970,0,0,0,0,0,159562,1,0,0,-3.0574099,4.0512841,9.8161177,-662517.77,25137.439,-637380.33
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,15000,15,0.4899,0.228085,0.043305,0.2267175,-1.12043,-1.077125,,0.26782683,0.065223543,3,0.5,17276,2,3,1.0073098,1245.9204,3184.6318,10880.628,1183.1582,3013.9029,11959.92,1228.7577,39802,0.24944536,6554,0.041074943,,2836.162,2863.8856,2889.1644,2912.4007,1294.7287,8500,6468,0,0,0,0,0,159562,1,0,0,-3.0709516,4.1353009,9.9289049,-660706.57,26703.622,-634002.95
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,16000,16,0.4864,0.2361575,0.0113925,0.234545,-1.118515,-1.1071225,,0.26598755,0.060979061,3,0.5,17193,2,3,1.0092162,1321.2888,3332.9909,10752.282,1248.8818,3151.8429,10021.111,1300.2413,43407,0.27203846,7959,0.049880297,,2898.0428,2924.6586,2950.5497,2975.4719,1369.1016,8229,7186,0,0,0,0,0,159562,1,0,0,-3.2680666,4.270874,10.530391,-658892.11,28237.554,-630654.55
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,17000,17,0.6241,0.25513,0.0135775,0.261275,-1.10528,-1.0917025,,0.26443124,0.055461234,3,0.5,17116,2,3,1.0108617,1373.4178,3468.4783,15241.993,1297.5693,3216.3645,11647.579,1370.9607,47391,0.29700681,9343,0.058554042,,2957.5257,2982.2073,3006.7324,3028.7839,1445.3063,8308,8064,0,0,0,0,0,159562,1,0,0,-3.0892759,4.3883411,10.622575,-657152.48,29809.266,-627343.21
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,18000,18,0.5695,0.26467,0.05044,0.26117,-1.10175,-1.05131,,0.25240521,0.049801924,3,0.5,17056,2,3,1.0129578,1434.726,3589.73,14179.715,1352.5379,3293.7268,15170.328,1439.4706,50551,0.31681102,10745,0.067340595,,3013.0825,3036.7508,3058.6295,3086.7672,1516.6986,8168,8562,0,0,0,0,0,159562,1,0,0,-3.3434862,4.5601678,10.678026,-655359.17,31281.723,-624077.45
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,19000,19,0.5845,0.279595,0,0.2772275,-0.966815,-1.0527375,,0.24320883,0.043293718,3,0.5,17113,2,3,1.0150742,1481.3853,3644.0492,12385.812,1394.5799,3377.8823,12298.401,1501.1393,53761,0.33692859,12101,0.075838859,,3066.0174,3088.0746,3108.3565,3129.5011,1582.6186,8108,9436,0,0,0,0,0,159562,1,0,0,-3.2453458,4.6637638,10.695277,-653529.73,32641.315,-620888.41
