case,element_id,i,j,r_center_um,z_center_um,reason
ep_5p0uj_recoil_1000ms,7062,21,88,11.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7063,22,88,12.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7064,23,88,13.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7065,24,88,14.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7066,25,88,15.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7067,26,88,16.500000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7121,0,89,0.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7122,1,89,0.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7123,2,89,1.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7124,3,89,1.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7125,4,89,2.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7126,5,89,2.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7127,6,89,3.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7128,7,89,3.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7129,8,89,4.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7130,9,89,4.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7131,10,89,5.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7132,11,89,5.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7133,12,89,6.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7134,13,89,6.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7135,14,89,7.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7136,15,89,7.750000,4.975000,pre-deleted vapor-zone element
