case,element_id,i,j,r_center_um,z_center_um,reason
ep_5p0uj_recoil_100ms,7133,12,89,6.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7134,13,89,6.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7135,14,89,7.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7136,15,89,7.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7137,16,89,8.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7138,17,89,8.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7139,18,89,9.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7140,19,89,9.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7141,20,89,10.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7142,21,89,11.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7143,22,89,12.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7144,23,89,13.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7145,24,89,14.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7146,25,89,15.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7147,26,89,16.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7201,0,90,0.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7202,1,90,0.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7203,2,90,1.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7204,3,90,1.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7205,4,90,2.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7206,5,90,2.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7207,6,90,3.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7208,7,90,3.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7209,8,90,4.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7210,9,90,4.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7211,10,90,5.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7212,11,90,5.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7213,12,90,6.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7214,13,90,6.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7215,14,90,7.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7216,15,90,7.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7217,16,90,8.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7218,17,90,8.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7219,18,90,9.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7220,19,90,9.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7221,20,90,10.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7222,21,90,11.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7223,22,90,12.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7224,23,90,13.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7225,24,90,14.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7226,25,90,15.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7227,26,90,16.500000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7281,0,91,0.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7282,1,91,0.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7283,2,91,1.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7284,3,91,1.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7285,4,91,2.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7286,5,91,2.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7287,6,91,3.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7288,7,91,3.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7289,8,91,4.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7290,9,91,4.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7291,10,91,5.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7292,11,91,5.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7293,12,91,6.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7294,13,91,6.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7295,14,91,7.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7296,15,91,7.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7297,16,91,8.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7298,17,91,8.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7299,18,91,9.250000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7300,19,91,9.750000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7301,20,91,10.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7302,21,91,11.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7303,22,91,12.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7304,23,91,13.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7305,24,91,14.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7306,25,91,15.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7307,26,91,16.500000,4.995000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6961,0,87,0.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6962,1,87,0.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6963,2,87,1.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6964,3,87,1.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6965,4,87,2.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6966,5,87,2.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6967,6,87,3.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6968,7,87,3.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6969,8,87,4.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6970,9,87,4.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6971,10,87,5.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6972,11,87,5.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6973,12,87,6.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6974,13,87,6.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6975,14,87,7.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6976,15,87,7.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6977,16,87,8.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6978,17,87,8.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6979,18,87,9.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6980,19,87,9.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6981,20,87,10.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6982,21,87,11.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6983,22,87,12.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6984,23,87,13.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6985,24,87,14.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6986,25,87,15.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,6987,26,87,16.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7041,0,88,0.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7042,1,88,0.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7043,2,88,1.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7044,3,88,1.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7045,4,88,2.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7046,5,88,2.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7047,6,88,3.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7048,7,88,3.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7049,8,88,4.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7050,9,88,4.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7051,10,88,5.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7052,11,88,5.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7053,12,88,6.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7054,13,88,6.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7055,14,88,7.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7056,15,88,7.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7057,16,88,8.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7058,17,88,8.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7059,18,88,9.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7060,19,88,9.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7061,20,88,10.500000,4.965000,pre-deleted vapor-zone element
