case,element_id,i,j,r_center_um,z_center_um,reason
ep_4p0uj,7124,3,89,1.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7125,4,89,2.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7126,5,89,2.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7127,6,89,3.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7128,7,89,3.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7129,8,89,4.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7130,9,89,4.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7131,10,89,5.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7132,11,89,5.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7133,12,89,6.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7134,13,89,6.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7135,14,89,7.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7136,15,89,7.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7137,16,89,8.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7138,17,89,8.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7139,18,89,9.250000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7140,19,89,9.750000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7141,20,89,10.500000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7142,21,89,11.500000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7143,22,89,12.500000,4.975000,pre-deleted vapor-zone element
ep_4p0uj,7201,0,90,0.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7202,1,90,0.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7203,2,90,1.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7204,3,90,1.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7205,4,90,2.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7206,5,90,2.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7207,6,90,3.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7208,7,90,3.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7209,8,90,4.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7210,9,90,4.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7211,10,90,5.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7212,11,90,5.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7213,12,90,6.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7214,13,90,6.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7215,14,90,7.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7216,15,90,7.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7217,16,90,8.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7218,17,90,8.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7219,18,90,9.250000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7220,19,90,9.750000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7221,20,90,10.500000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7222,21,90,11.500000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7223,22,90,12.500000,4.985000,pre-deleted vapor-zone element
ep_4p0uj,7281,0,91,0.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7282,1,91,0.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7283,2,91,1.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7284,3,91,1.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7285,4,91,2.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7286,5,91,2.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7287,6,91,3.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7288,7,91,3.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7289,8,91,4.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7290,9,91,4.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7291,10,91,5.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7292,11,91,5.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7293,12,91,6.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7294,13,91,6.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7295,14,91,7.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7296,15,91,7.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7297,16,91,8.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7298,17,91,8.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7299,18,91,9.250000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7300,19,91,9.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7301,20,91,10.500000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7302,21,91,11.500000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,7303,22,91,12.500000,4.995000,pre-deleted vapor-zone element
