case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_100ps,180000,15.9999,0.4193,0.195005,0.044155,0.1482975,-0.4986175,-0.4544625,,0.23208955,0.023134328,1.2733403,2066.2808,5079.5285,1766.8556,4521.0974,,3255.3347,3273.4953,3284.8231,3307.2674,2353.3351,799,1562,0,0,0,1,0,12415,1,-7.8565421,8.3086209,20.168131,-48444.272,3776.5491,-44667.723
fluence_0p5_100ps,190000,16.9999,0.2829,0.1213275,0,0.101435,-0.448115,-0.4536225,,0.22537313,0.017164179,1.3874258,2113.5742,5202.9476,1811.0825,4397.1624,,3321.8416,3335.1376,3350.1516,3365.631,2328.0039,799,1414,0,0,0,0,0,12415,0,-8.9206773,9.0104561,20.121299,-47914.955,3735.8986,-44179.057
fluence_0p5_100ps,200000,17.9999,0.3597,0.0961275,0,0.0979825,-0.4762,-0.500755,,0.21641791,0.015671642,1.4596981,2129.0499,5405.2948,1826.9667,4590.1359,,3385.8032,3396.0925,3408.3541,3421.1531,2310.0661,766,1312,0,0,0,0,0,12416,0,-8.7123872,9.3073753,20.046828,-47382.583,3707.1126,-43675.471
fluence_0p5_100ps,210000,18.9999,0.246,-0.016115,0.010695,-0.016115,-0.56874,-0.558045,,0.21343284,0.014179104,1.527052,2189.9416,5631.5427,1858.1394,4699.4201,,3454.0098,3468.6969,3488.6112,3502.6633,2278.9228,749,1164,0,0,0,0,0,12416,0,-10.581123,8.8421952,18.846345,-46707.129,3657.1349,-43049.994
fluence_0p5_100ps,220000,19.9999,0.2415,-0.10737,0,-0.1150225,-0.6654875,-0.720625,,0.22313433,0.017164179,1.585916,2206.3289,5635.8715,1895.7288,4705.4156,,3515.1821,3526.6687,3541.4601,3557.134,2336.3248,670,1209,0,0,0,0,0,12416,0,-10.349889,9.5734648,19.682488,-46280.522,3749.2515,-42531.27
fluence_0p5_100ps,230000,20.9999,0.0029,-0.1957775,0,-0.20805,-0.7769725,-0.7777125,,0.22985075,0.02761194,1.5744451,2340.2497,6133.7545,1985.9898,5155.3332,,3568.1839,3576.8818,3586.9201,3601.0756,2339.8206,626,1179,0,0,0,0,0,12415,0,-10.375278,10.266271,19.67601,-45822.584,3754.8615,-42067.723
fluence_0p5_100ps,240000,21.9999,-0.0821,-0.31928,0.0372425,-0.2681775,-0.913695,-0.8764525,,0.24477612,0.029850746,1.5589482,2353.9038,6431.1296,2023.0649,5101.3532,,3614.812,3622.9591,3634.5215,3649.7766,2378.2793,615,1246,0,0,0,0,0,12416,0,-10.402209,11.045281,19.914981,-45447.025,3816.5786,-41630.447
fluence_0p5_100ps,250000,22.9999,-0.0686,-0.34318,0.01707,-0.33949,-0.94614,-0.92907,,0.24179104,0.037313433,1.5567231,2459.2742,6534.0709,2057.4859,5363.7102,,3659.6053,3670.1398,3683.9401,3701.6019,2455.0711,621,1204,0,0,0,0,0,12414,0,-11.699331,11.716548,19.85467,-45110.585,3939.8114,-41170.774
fluence_0p5_100ps,260000,23.9999,0.0158,-0.4512375,0,-0.4512375,-1.024345,-1.04826,,0.24029851,0.040298507,1.5553443,2580.0907,6758.4327,2184.7882,5834.7466,,3701.3578,3711.3088,3718.4038,3731.9637,2570.4767,580,1360,0,0,0,0,0,12416,0,-11.4498,12.841104,20.035227,-44884.487,4125.0103,-40759.477
fluence_0p5_100ps,270000,24.9999,0.0269,-0.41491,0,-0.4946175,-0.989755,-1.035875,,0.23656716,0.041791045,1.5517649,2471.0197,6239.4388,2112.9802,5525.9276,,3737.7445,3747.5339,3756.7392,3764.3269,2649.8272,604,1433,0,0,0,0,0,12415,0,-10.475667,12.918076,20.222468,-44642.794,4252.3492,-40390.444
