case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_100ps,70000,4.9999,-2.0724,-0.3462
fluence_0p5_100ps,70000,4.9999,-1.8724,-0.497255
fluence_0p5_100ps,70000,4.9999,-1.6724,-0.74231
fluence_0p5_100ps,70000,4.9999,-1.4724,-0.6274
fluence_0p5_100ps,70000,4.9999,-1.2724,-0.48121
fluence_0p5_100ps,70000,4.9999,-1.0724,-0.611675
fluence_0p5_100ps,70000,4.9999,-0.8724,-0.5254
fluence_0p5_100ps,70000,4.9999,-0.6724,-0.43825
fluence_0p5_100ps,70000,4.9999,-0.4724,-0.54268
fluence_0p5_100ps,70000,4.9999,-0.2724,-0.488265
fluence_0p5_100ps,70000,4.9999,-0.0724,-0.64254
fluence_0p5_100ps,70000,4.9999,0.1276,-0.365025
fluence_0p5_100ps,70000,4.9999,0.3276,-0.62604
fluence_0p5_100ps,70000,4.9999,0.5276,-0.49262
fluence_0p5_100ps,70000,4.9999,0.7276,-0.61902
fluence_0p5_100ps,70000,4.9999,0.9276,-0.341595
fluence_0p5_100ps,70000,4.9999,1.1276,-0.62889
fluence_0p5_100ps,70000,4.9999,1.3276,-0.4779
fluence_0p5_100ps,70000,4.9999,1.5276,-0.61716
fluence_0p5_100ps,70000,4.9999,1.7276,-0.351875
fluence_0p5_100ps,70000,4.9999,1.9276,-0.630595
fluence_0p5_100ps,70000,4.9999,2.1276,-0.548165
fluence_0p5_100ps,80000,5.9999,-2.0724,-0.61324
fluence_0p5_100ps,80000,5.9999,-1.8724,-0.48646
fluence_0p5_100ps,80000,5.9999,-1.6724,-0.624345
fluence_0p5_100ps,80000,5.9999,-1.4724,-0.382325
fluence_0p5_100ps,80000,5.9999,-1.2724,-0.62646
fluence_0p5_100ps,80000,5.9999,-1.0724,-0.4953
fluence_0p5_100ps,80000,5.9999,-0.8724,-0.629085
fluence_0p5_100ps,80000,5.9999,-0.6724,-0.35965
fluence_0p5_100ps,80000,5.9999,-0.4724,-0.62437
