threshold,lower_case,lower_Ep_uJ,lower_T_peak_K,upper_case,upper_Ep_uJ,upper_T_peak_K,target_T_K,estimated_Ep_uJ,method
melt,ep_1p0uj,1.0,1361.60,ep_1p5uj,1.5,1891.87,1687.0,1.3068,linear interpolation of peak temperature
vapor,ep_3p05uj,3.05,3535.87,ep_3p1uj,3.1,3590.86,3538.0,3.0519,linear interpolation of peak temperature
